ASIN,price,quantity,open_date,item_is_marketplace,featured_offer_buy_box_percentage,Sales Rank: Current,Reviews: Rating,Reviews: Review Count,Buy Box 🚚: Stock,Buy Box: Is FBA,Brand,Prime Eligible (Buy Box),Subscribe and Save,Last Price Change,Buy Box Seller
B091K1WBH3,36.89,11,2021-09-15 11:06:55,y,84.75,40271.0,4.7,467.0,10.0,no,Softlan,no,no,2024/01/08 23:42,1
B003SLFA76,25.83,0,2021-09-18 21:21:43,y,51.82,47872.0,4.4,34.0,61.0,no,HELA,no,no,2024/06/03 05:48,1
B00RBPLLS2,26.95,18,2021-09-18 21:28:10,y,89.62,9085.0,4.6,512.0,6.0,no,HELA,no,no,2024/05/25 05:28,1
B00RBPLLQE,21.49,0,2021-09-18 21:37:26,y,0.0,61977.0,4.4,250.0,0.0,no,HELA,no,no,2024/06/03 16:46,0
B07CXDB7NK,25.85,0,2021-09-18 21:39:26,y,29.41,4714.0,4.7,581.0,0.0,no,HELA,no,no,2024/04/22 04:24,0
B01LC7T4YW,34.85,0,2021-09-23 11:43:26,y,0.0,98376.0,4.4,82.0,0.0,no,Ferrero,no,no,2024/05/02 09:08,0
B091K24LBS,36.89,13,2021-09-27 12:18:08,y,17.86,38533.0,4.7,467.0,13.0,no,Softlan,no,no,2024/06/04 10:00,1
B091K18XYZ,33.49,19,2021-09-27 12:22:47,y,62.86,110079.0,4.7,75.0,18.0,no,Softlan,no,no,2024/05/28 21:48,1
B01AY0GCOS,35.49,14,2021-09-27 13:48:43,y,0.0,13144.0,4.6,3380.0,14.0,no,Sidolin,no,no,2024/06/02 06:48,0
B07L7PYN77,8.95,14,2021-09-28 21:48:47,y,52.48,84827.0,4.6,1183.0,14.0,no,Softlan,no,no,2024/06/04 05:26,1
B08FGTMDGD,21.89,23,2021-10-08 17:26:48,y,0.0,2174.0,4.6,1436.0,5.0,yes,WC-Ente,yes,yes,2024/06/02 22:36,1
B08X1BNRZ3,14.95,0,2021-10-08 17:58:05,y,16.51,23257.0,4.6,79.0,5.0,yes,Teekanne,yes,no,2024/06/03 14:32,1
B000TDBZPC,13.49,0,2021-10-08 18:35:52,y,28.17,6583.0,4.7,752.0,0.0,no,Bünting Tee,yes,no,2024/06/03 16:24,0
B007N30XDQ,8.49,0,2021-10-19 12:28:12,y,0.0,113224.0,4.2,53.0,34.0,no,Odol-med 3,no,no,2024/06/04 06:20,1
B085WK5TD9,8.9,8,2021-10-29 21:37:49,y,0.0,77748.0,4.5,15.0,10.0,no,BIOBLAS,no,no,2024/05/22 04:26,1
B084P7TQTX,13.95,70,2021-10-29 21:49:32,y,89.42,27249.0,4.2,81.0,70.0,no,BIOBLAS,no,no,2022/02/19 03:48,1
B084Q6K38Q,24.0,73,2021-10-29 21:54:08,y,0.25,14784.0,4.2,212.0,82.0,no,BIOBLAS,no,no,2024/05/28 23:38,1
B004WW9D14,9.39,10,2021-11-03 16:59:45,y,65.46,14493.0,4.4,56.0,10.0,no,NESTLEKAFF,yes,no,2024/06/04 10:56,0
B08BT9FGX2,46.0,0,2021-11-04 17:00:35,y,12.8,72589.0,4.5,51.0,0.0,no,Milka,no,no,2024/05/07 10:48,0
B001N3EU8Q,5.29,0,2021-11-04 17:13:43,y,0.0,127912.0,4.2,33.0,0.0,no,Ferrero,no,no,2011/01/01 01:00,1
B00GH7V1IU,4.89,0,2021-11-14 21:45:17,y,0.0,60101.0,4.0,159.0,0.0,no,Kinder,no,no,2023/06/19 13:04,0
B01HM4HEKK,26.89,0,2021-11-15 14:44:45,y,0.34,71699.0,3.6,89.0,0.0,no,Ferrero,yes,no,2024/01/09 18:36,0
B00D5VHR3O,5.49,0,2021-11-17 20:13:00,y,92.81,31641.0,4.5,251.0,0.0,no,NAZUSA,no,no,2024/05/02 18:08,0
B0043ZUSAA,5.39,100,2021-11-17 20:29:21,y,95.42,100044.0,4.5,48.0,100.0,no,UNIVER,no,no,2024/05/31 18:48,0
B004TGGEF6,5.49,33,2021-11-17 20:35:34,y,95.6,117343.0,4.6,51.0,33.0,no,UNIVER,no,no,2024/06/04 04:20,0
B08BTF4RRT,9.49,0,2021-11-20 17:07:04,y,0.0,41435.0,4.4,330.0,0.0,no,Milka,no,no,2024/03/25 01:00,0
B0967G66HK,18.49,0,2021-11-20 18:00:10,y,0.0,90458.0,4.4,21.0,0.0,no,Ferrero Küsschen,no,no,2024/03/27 17:44,0
B096LLVYFY,7.89,0,2021-11-26 13:39:32,y,0.77,67364.0,4.5,142.0,0.0,no,Milka,yes,no,2024/03/23 15:52,0
B08D8LCCY4,6.49,29,2021-12-04 00:01:08,y,0.0,67935.0,4.6,483.0,29.0,no,Parodontax,no,no,2024/02/10 01:30,0
B073ZBD2G8,8.42,0,2021-12-09 22:35:41,y,97.18,24425.0,4.4,66.0,22.0,yes,Natreen,yes,no,2024/06/01 16:32,1
B0725PPMQ1,12.49,0,2021-12-18 21:06:51,y,26.62,35454.0,4.6,176.0,0.0,no,Teekanne,no,no,2024/06/01 12:08,0
B00BUKOP9Q,11.95,0,2021-12-20 19:38:49,y,46.89,14189.0,4.5,491.0,0.0,no,HARIBO,no,no,2024/06/02 19:36,0
B071YM39PX,9.49,0,2021-12-20 20:42:13,y,43.97,25881.0,4.0,44.0,8.0,no,Katjes,no,no,2024/05/31 21:44,1
B00IQ08GEI,6.49,29,2021-12-23 23:28:26,y,79.93,57481.0,4.5,31.0,4.0,yes,Vivil,yes,yes,2024/05/31 21:36,1
B008RWPBWA,19.89,47,2021-12-25 22:34:28,y,50.61,9781.0,4.3,94.0,4.0,no,Coppenrath,no,no,2024/05/28 23:00,1
B00EVMIXCU,19.49,0,2021-12-25 22:45:23,y,4.46,7499.0,4.5,157.0,32.0,no,Coppenrath,no,no,2024/06/04 10:56,1
B00EVMIYDI,16.95,0,2021-12-25 22:47:47,y,53.55,7474.0,4.4,157.0,14.0,no,Coppenrath,no,no,2024/06/04 09:24,1
B00PP0STNA,8.39,0,2021-12-27 20:37:04,y,4.45,28629.0,4.6,189.0,126.0,yes,Gülcan,yes,no,2024/06/04 06:58,1
B00PQRSWWA,7.95,0,2021-12-27 20:42:37,y,0.71,1490.0,4.4,1051.0,525.0,yes,Gülcan,yes,no,2024/06/04 10:52,1
